final.contigs:
avg=932.027 
253	151
272	134
235	10
303	121
336	94
300	114
203	8
527	43
315	116
335	112
353	90
223	19
273	151
294	120
383	95
1017	18
744	23
481	64
973	15
412	73
485	50
251	148
825	21
419	71
487	59
1727	14
366	90
1926	5
1508	14
1472	13
317	107
1985	7
1458	11
2689	3
1044	25
644	42
1255	12
444	66
283	131
1197	15
290	120
2101	9
2971	5
531	45
263	138
1631	9
524	40
1811	9
289	144
347	104
1089	10
266	150
324	134
2250	5
1847	7
657	20
1556	10
735	23
422	73
593	28
278	119
1354	18
424	73
325	117
1729	6
2665	2
1173	13
1041	9
417	61
390	94
1413	8
313	126
1975	9
1063	24
1254	15
529	32
282	123
774	15
844	22
811	17
751	23
442	70
621	34
322	125
2549	6
308	139
358	87
381	100
371	92
2237	5
281	145
327	115
298	120
461	59
326	107
2384	5
1215	12
319	138
370	87
3541	1
365	84
1947	6
830	22
260	137
438	49
709	36
747	24
1637	11
578	36
352	100
943	23
670	40
1300	12
1234	20
287	125
341	91
2547	7
250	152
254	158
418	85
275	153
1341	9
690	34
1852	11
1079	19
314	125
323	113
277	135
449	57
321	110
2265	7
318	119
258	136
2859	6
1498	13
2120	6
391	88
350	94
608	33
903	21
257	150
1578	10
259	158
1906	8
3518	2
517	47
525	49
1393	7
873	13
1190	16
392	82
415	60
469	59
304	111
357	88
1507	7
1250	16
458	64
545	41
349	99
507	48
3091	5
2272	3
457	54
297	106
817	23
1287	9
386	79
311	128
550	44
1088	9
2454	6
369	92
2012	5
1689	10
346	106
2112	6
1375	14
552	42
1122	6
306	116
405	64
296	127
1620	5
1691	9
433	73
396	70
777	19
754	24
333	117
591	41
528	54
2527	5
1594	11
534	38
1232	19
401	80
1582	10
963	20
510	41
940	8
382	97
568	39
2480	6
1062	17
532	42
2284	7
248	26
813	17
1206	16
833	21
515	52
609	39
975	18
888	14
255	165
1635	9
1550	14
388	78
343	91
1945	8
520	49
708	22
2537	4
6342	1
3388	2
2705	3
804	22
746	20
992	10
814	25
328	107
665	24
279	129
1616	10
488	49
302	115
285	133
2283	3
551	38
274	123
654	27
653	27
3953	1
332	106
600	36
1462	12
1545	10
3437	1
1137	15
930	20
784	26
769	26
1439	12
446	61
2829	1
364	81
431	57
1221	9
261	152
1129	13
378	81
329	132
789	16
465	53
3632	1
1657	9
736	29
286	126
359	83
1058	13
876	13
1968	4
293	101
427	54
693	32
6388	1
410	69
950	12
4357	1
1183	8
1263	17
2261	6
1032	18
2617	1
345	94
1267	7
566	31
450	64
387	74
980	14
611	25
2379	2
437	66
430	65
1459	9
725	30
805	21
330	97
535	48
426	65
340	116
629	29
409	64
1855	9
451	60
1336	9
425	48
1108	11
1807	6
362	97
502	39
309	119
402	82
863	19
788	17
640	52
845	24
969	11
1301	12
674	21
2201	11
498	56
1824	10
361	92
492	57
656	34
1168	11
491	61
490	55
1866	10
1342	16
342	108
859	22
1530	8
612	34
1188	13
1490	9
3604	2
646	27
680	27
864	24
846	22
1247	19
649	32
500	50
2285	7
1303	14
483	55
3122	3
1292	18
1882	11
1080	18
537	44
1803	9
861	18
705	26
1952	11
428	61
1407	12
1894	10
761	21
991	18
1103	21
504	44
732	22
1131	17
2682	2
792	17
3587	2
699	33
503	46
1485	15
394	70
360	96
398	82
1477	10
1864	8
728	31
1920	5
1443	10
2806	3
1220	20
555	44
3136	4
666	25
2531	1
1779	15
1177	14
470	56
241	15
445	52
1023	10
334	102
264	132
268	128
993	18
598	26
2162	5
276	145
1835	7
849	18
643	25
1934	6
5685	1
493	53
4142	1
2161	8
865	21
411	95
760	31
1482	6
1260	9
574	44
3147	2
351	123
1029	20
738	21
1117	17
987	21
373	68
5017	1
280	127
1257	13
3012	3
1305	12
557	37
1504	14
1715	8
474	51
355	83
420	64
1722	8
1438	6
2595	3
376	81
301	122
1491	12
505	41
840	26
584	30
1817	5
1045	14
934	15
2626	4
1138	14
456	61
269	133
310	127
3979	1
884	17
397	80
1674	14
694	31
672	30
1884	8
536	37
2043	8
651	29
677	33
2288	10
590	27
3247	1
696	34
616	34
559	47
511	45
560	35
1480	15
295	126
2352	8
1370	9
686	33
337	106
291	125
356	97
718	36
379	68
320	115
513	55
3801	2
1604	9
702	34
1018	15
2317	7
408	71
1410	16
2026	6
877	20
1971	10
571	36
3220	4
477	52
704	22
3293	4
476	54
1418	12
1605	16
573	41
389	84
262	132
1801	8
374	72
798	23
354	103
2420	6
626	32
1470	12
403	61
399	79
1609	8
676	33
472	46
2488	3
945	20
1228	16
363	88
1896	9
1553	15
684	29
1016	12
2058	2
1050	21
1707	15
678	30
1403	10
553	39
1141	22
368	100
455	67
1059	16
1881	7
2159	8
331	125
1229	17
384	86
896	16
731	20
494	45
395	82
1528	11
791	26
631	33
1809	13
981	23
781	21
1239	14
2581	5
889	21
2860	2
1209	15
597	25
548	35
836	23
243	14
339	109
2660	4
596	33
1796	9
1542	12
393	75
815	24
714	26
267	130
435	71
249	137
404	81
1258	14
265	121
413	60
985	18
595	34
530	45
292	104
585	38
827	19
2063	6
252	142
1325	13
853	17
2019	4
522	42
3861	1
497	50
691	25
697	24
879	23
521	46
1096	14
2293	8
1928	4
1231	16
468	64
1013	21
1444	9
2496	5
2530	3
2380	3
931	17
348	89
1949	8
1702	6
881	16
1767	8
270	131
868	20
2438	7
1776	11
312	127
407	66
5534	1
3294	2
338	106
3454	2
2582	3
925	25
912	16
1673	8
1586	8
495	50
432	57
1911	6
1760	9
3540	5
1160	12
1922	5
673	26
5036	1
641	27
576	28
471	56
786	25
466	61
1043	22
316	133
1867	7
1723	10
506	49
922	16
2555	3
547	45
1400	5
2475	3
1548	13
1134	11
630	40
894	21
1285	5
1739	10
1872	7
1539	18
3238	4
509	43
739	31
743	32
514	51
1226	12
730	35
602	34
1249	12
1514	9
479	52
1424	13
4105	1
858	14
372	76
256	132
1152	14
3100	1
377	82
1397	8
1240	10
883	20
2252	7
1476	14
542	51
2278	7
826	21
271	128
2874	3
885	29
299	109
367	100
284	130
464	59
2057	8
2400	6
669	29
652	36
1961	9
305	120
906	23
1650	8
4927	1
3151	2
1914	9
606	33
2309	4
1056	12
2544	4
1390	13
880	23
225	12
247	13
749	22
202	13
3076	2
1429	12
448	73
1148	10
2866	3
540	40
1196	14
246	11
480	47
2729	1
965	15
1497	6
467	60
2184	9
660	29
2196	7
842	28
683	20
